(1.37, 1.19, -2.27) (1.97, 2.16, -0.31) 
(2.54, 1.39, 0.09) (1.97, 2.18, 0.10) 
(2.53, 0.38, -1.36) (2.16, 1.46, -1.34) 
(-1.83, 1.92, 1.18) (-1.67, 2.43, -0.07) 
(-0.39, 1.98, 2.08) (0.01, 2.73, 1.13) 
(1.49, 0.44, 2.45) (0.70, 2.81, 0.51) 
(-1.10, 0.54, 2.63) (-1.02, 2.76, 0.11) 
(-0.72, 0.99, -2.63) (-1.46, 2.06, -1.53) 
(0.44, 2.80, 0.63) (1.23, 2.58, -0.65) 
(-2.02, 0.05, -2.08) (-2.14, 1.25, -1.57) 
(1.35, 2.44, -0.82) (1.59, 1.86, -1.62) 
(-0.14, 2.33, -1.72) (-0.10, 1.42, -2.57) 
(1.62, 1.85, 1.54) (1.12, 2.28, -1.47) 
(-2.80, 0.69, 0.27) (-1.58, 1.96, -1.53) 
(-1.16, 2.65, -0.27) (-1.94, 0.21, -2.19) 
(-2.20, 1.48, -1.18) (-1.66, 1.65, -1.79) 
(-2.20, 1.48, -1.18) (-2.13, 1.47, -1.40) 
(1.49, 0.44, 2.45) (1.25, 2.65, 0.26) 
(-0.39, 1.98, 2.08) (-0.64, 2.77, 0.76) 
(-1.83, 1.92, 1.18) (-1.60, 2.35, -0.75) 
(-2.02, 0.05, -2.08) (-2.10, 1.67, -1.21) 
(-0.14, 2.33, -1.72) (0.11, 2.66, -1.24) 
(-1.16, 2.65, -0.27) (-2.52, 1.45, -0.37) 
(0.44, 2.80, 0.63) (1.63, 2.38, 0.57) 
(1.37, 1.19, -2.27) (1.86, 1.78, -1.42) 
(-2.80, 0.69, 0.27) (-2.29, 1.83, -0.10) 
(2.53, 0.38, -1.36) (1.59, 1.69, -1.80) 
(2.54, 1.39, 0.09) (2.27, 1.83, 0.27) 
(-0.72, 0.99, -2.63) (-2.17, 1.84, -0.71) 
(1.62, 1.85, 1.54) (1.31, 2.33, -1.23) 
(-1.10, 0.54, 2.63) (-2.21, 1.27, 1.46) 
(1.35, 2.44, -0.82) (1.84, 1.57, -1.67) 
(1.62, 1.85, 1.54) (1.75, 1.91, 1.38) 
(0.44, 2.80, 0.63) (1.55, 2.50, 0.09) 
(2.54, 1.39, 0.09) (2.46, 1.47, 0.63) 
(-1.10, 0.54, 2.63) (-1.23, 2.39, 1.21) 
(1.49, 0.44, 2.45) (0.91, 2.42, 1.41) 
(-0.72, 0.99, -2.63) (-0.55, 1.54, -2.44) 
(-1.83, 1.92, 1.18) (-1.52, 2.48, 0.49) 
(-0.39, 1.98, 2.08) (-0.22, 2.86, 0.64) 
(-2.02, 0.05, -2.08) (-2.75, 0.78, -0.66) 
(-2.20, 1.48, -1.18) (-2.40, 1.51, -0.75) 
(-2.80, 0.69, 0.27) (-1.27, 2.65, 0.07) 
(1.35, 2.44, -0.82) (1.90, 2.15, -0.63) 
(1.37, 1.19, -2.27) (1.97, 1.39, -1.66) 
(-0.14, 2.33, -1.72) (-0.16, 2.93, 0.24) 
(2.53, 0.38, -1.36) (2.49, 1.49, -0.44) 
