(-0.14, 2.33, -1.72) (-2.26, 1.48, 1.15) 
(0.44, 2.80, 0.63) (0.72, 2.65, 1.07) 
(1.62, 1.85, 1.54) (0.74, 2.57, 1.21) 
(-2.20, 1.48, -1.18) (-1.45, 2.49, -0.59) 
(-2.80, 0.69, 0.27) (-1.80, 2.31, 0.14) 
(-0.72, 0.99, -2.63) (-0.71, 2.27, -1.73) 
(1.35, 2.44, -0.82) (1.02, 2.62, -0.84) 
(-1.83, 1.92, 1.18) (-1.76, 2.20, 0.83) 
(-0.39, 1.98, 2.08) (-0.42, 2.43, 1.62) 
(-1.10, 0.54, 2.63) (-1.07, 1.88, 1.98) 
(1.49, 0.44, 2.45) (1.19, 1.97, 1.84) 
(-2.02, 0.05, -2.08) (-1.80, 1.76, -1.50) 
(1.37, 1.19, -2.27) (0.87, 2.27, -1.65) 
(2.53, 0.38, -1.36) (1.86, 1.94, -1.19) 
(-1.16, 2.65, -0.27) (-1.21, 2.69, -0.03) 
(2.54, 1.39, 0.09) (2.09, 1.96, -0.61) 
(1.62, 1.85, 1.54) (1.35, 2.50, 0.76) 
(2.54, 1.39, 0.09) (1.41, 2.49, -0.69) 
(-2.02, 0.05, -2.08) (-2.12, 1.83, -0.89) 
(0.44, 2.80, 0.63) (0.40, 2.60, -1.31) 
(-1.10, 0.54, 2.63) (-1.03, 2.75, -0.23) 
(1.49, 0.44, 2.45) (0.73, 2.76, -0.71) 
(2.53, 0.38, -1.36) (2.35, 1.65, -0.64) 
(-1.16, 2.65, -0.27) (-1.24, 2.66, 0.20) 
(1.37, 1.19, -2.27) (0.77, 2.44, -1.46) 
(-0.39, 1.98, 2.08) (-0.14, 2.92, 0.32) 
(-0.72, 0.99, -2.63) (-1.48, 2.05, -1.52) 
(-2.20, 1.48, -1.18) (-2.46, 1.49, 0.58) 
(-2.80, 0.69, 0.27) (-2.38, 1.72, 0.19) 
(-1.83, 1.92, 1.18) (-1.58, 2.49, -0.04) 
(-0.14, 2.33, -1.72) (0.31, 2.81, -0.80) 
(1.35, 2.44, -0.82) (0.92, 2.12, -1.82) 
(-2.02, 0.05, -2.08) (-2.29, 1.40, -1.18) 
(1.62, 1.85, 1.54) (1.26, 2.66, -0.05) 
(0.44, 2.80, 0.63) (1.09, 2.53, -1.04) 
(-0.39, 1.98, 2.08) (-1.19, 2.69, 0.20) 
(-1.16, 2.65, -0.27) (-1.51, 2.47, -0.59) 
(-0.72, 0.99, -2.63) (-2.74, 0.92, -0.52) 
(-1.83, 1.92, 1.18) (-1.48, 2.54, -0.03) 
(1.35, 2.44, -0.82) (1.05, 2.48, -1.20) 
(-2.80, 0.69, 0.27) (-2.45, 0.85, 1.35) 
(2.53, 0.38, -1.36) (1.76, 1.73, -1.60) 
(-2.20, 1.48, -1.18) (-2.39, 1.65, -0.55) 
(2.54, 1.39, 0.09) (2.49, 1.58, -0.01) 
(1.37, 1.19, -2.27) (0.70, 0.79, -2.73) 
(-0.14, 2.33, -1.72) (-0.50, 2.24, -1.83) 
(-1.10, 0.54, 2.63) (-1.32, 2.62, 0.05) 
