(2.54, 1.39, 0.09) (0.32, 2.60, -1.34) 
(-1.83, 1.92, 1.18) (-1.71, 2.40, -0.03) 
(-2.20, 1.48, -1.18) (-0.94, 2.47, -1.31) 
(-0.39, 1.98, 2.08) (-2.24, 1.68, -0.93) 
(-2.02, 0.05, -2.08) (-2.72, 1.02, -0.43) 
(1.62, 1.85, 1.54) (1.00, 2.56, -1.04) 
(-0.72, 0.99, -2.63) (-0.01, 1.16, -2.71) 
(0.44, 2.80, 0.63) (1.56, 2.28, -1.01) 
(2.53, 0.38, -1.36) (2.12, 1.66, -1.19) 
(1.49, 0.44, 2.45) (0.70, 2.37, -1.60) 
(-2.80, 0.69, 0.27) (-2.85, 0.60, -0.38) 
(-0.14, 2.33, -1.72) (0.63, 1.29, -2.55) 
(1.37, 1.19, -2.27) (2.23, 1.40, -1.29) 
(-1.10, 0.54, 2.63) (-2.64, 0.78, -1.01) 
(1.35, 2.44, -0.82) (1.22, 2.22, -1.48) 
(-1.16, 2.65, -0.27) (-2.51, 1.46, -0.40) 
(-0.72, 0.99, -2.63) (-2.00, 0.33, -2.12) 
(-2.20, 1.48, -1.18) (-2.74, 0.88, -0.60) 
(-2.02, 0.05, -2.08) (-2.55, 0.89, -1.15) 
(2.53, 0.38, -1.36) (2.19, 0.91, -1.72) 
(-0.14, 2.33, -1.72) (0.40, 2.49, -1.51) 
(0.44, 2.80, 0.63) (1.67, 2.20, -1.00) 
(1.35, 2.44, -0.82) (1.03, 2.53, -1.09) 
(1.49, 0.44, 2.45) (1.58, 1.76, -1.74) 
(2.54, 1.39, 0.09) (1.29, 2.32, -1.27) 
(1.62, 1.85, 1.54) (1.22, 2.44, -1.12) 
(-0.39, 1.98, 2.08) (-2.59, 1.08, -0.86) 
(1.37, 1.19, -2.27) (1.30, 2.17, -1.50) 
(-1.10, 0.54, 2.63) (-2.65, 0.83, -0.93) 
(-1.83, 1.92, 1.18) (-1.63, 2.44, 0.27) 
(-2.80, 0.69, 0.27) (-2.45, 1.60, -0.25) 
(-1.16, 2.65, -0.27) (-2.22, 1.44, -1.25) 
(0.44, 2.80, 0.63) (1.44, 2.12, -1.46) 
(-2.20, 1.48, -1.18) (-2.60, 0.39, -1.29) 
(1.62, 1.85, 1.54) (0.95, 2.50, -1.23) 
(-0.72, 0.99, -2.63) (0.88, 0.40, -2.76) 
(-1.83, 1.92, 1.18) (-2.21, 1.79, -0.71) 
(-2.80, 0.69, 0.27) (-2.85, 0.30, -0.65) 
(1.37, 1.19, -2.27) (1.44, 1.59, -2.01) 
(1.49, 0.44, 2.45) (1.38, 1.15, -2.33) 
(-1.16, 2.65, -0.27) (-2.23, 1.73, -0.83) 
(2.53, 0.38, -1.36) (1.28, 2.12, -1.60) 
(-1.10, 0.54, 2.63) (-2.44, 0.22, -1.63) 
(-0.14, 2.33, -1.72) (0.75, 2.24, -1.75) 
(-0.39, 1.98, 2.08) (0.56, 1.57, -2.42) 
(-2.02, 0.05, -2.08) (-2.53, 0.52, -1.39) 
(2.54, 1.39, 0.09) (2.12, 1.36, -1.50) 
