(-1.10, 0.54, 2.63) (-0.44, 2.91, -0.06) 
(-0.72, 0.99, -2.63) (0.40, 2.19, -1.92) 
(1.35, 2.44, -0.82) (0.17, 1.97, -2.17) 
(1.37, 1.19, -2.27) (1.85, 1.98, -1.15) 
(-0.14, 2.33, -1.72) (0.95, 1.82, -2.10) 
(1.62, 1.85, 1.54) (1.48, 1.57, -2.00) 
(2.53, 0.38, -1.36) (2.34, 1.54, -0.87) 
(-2.20, 1.48, -1.18) (-1.32, 2.49, -0.88) 
(-2.02, 0.05, -2.08) (-0.94, 2.68, -0.78) 
(1.49, 0.44, 2.45) (1.85, 1.54, -1.68) 
(2.54, 1.39, 0.09) (2.30, 1.78, -0.43) 
(-1.16, 2.65, -0.27) (0.93, 2.38, -1.46) 
(0.44, 2.80, 0.63) (1.03, 1.62, -2.24) 
(-0.39, 1.98, 2.08) (1.03, 2.27, -1.55) 
(-1.83, 1.92, 1.18) (-1.56, 1.72, -1.79) 
(-2.80, 0.69, 0.27) (-1.64, 2.35, -0.66) 
(-0.14, 2.33, -1.72) (0.29, 1.69, -2.39) 
(-1.83, 1.92, 1.18) (-1.84, 1.84, -1.36) 
(2.54, 1.39, 0.09) (2.37, 1.65, -0.57) 
(-1.16, 2.65, -0.27) (0.61, 2.10, -1.97) 
(1.37, 1.19, -2.27) (1.09, 1.58, -2.23) 
(0.44, 2.80, 0.63) (1.82, 1.70, -1.56) 
(-2.20, 1.48, -1.18) (-1.74, 2.02, -1.25) 
(-1.10, 0.54, 2.63) (-0.89, 1.79, -2.16) 
(2.53, 0.38, -1.36) (1.99, 1.57, -1.49) 
(1.35, 2.44, -0.82) (1.56, 1.46, -2.00) 
(-0.39, 1.98, 2.08) (0.29, 1.38, -2.57) 
(-0.72, 0.99, -2.63) (-0.42, 1.60, -2.44) 
(1.62, 1.85, 1.54) (1.80, 1.55, -1.74) 
(-2.80, 0.69, 0.27) (-1.73, 2.36, -0.24) 
(-2.02, 0.05, -2.08) (-1.71, 2.19, -0.94) 
(1.49, 0.44, 2.45) (2.19, 1.62, -1.11) 
(-1.83, 1.92, 1.18) (-2.31, 1.81, -0.08) 
(1.37, 1.19, -2.27) (2.16, 1.68, -1.08) 
(-0.39, 1.98, 2.08) (0.19, 2.92, -0.26) 
(-1.16, 2.65, -0.27) (0.11, 1.60, -2.47) 
(-0.14, 2.33, -1.72) (0.25, 1.19, -2.67) 
(1.49, 0.44, 2.45) (1.52, 1.43, -2.06) 
(-2.80, 0.69, 0.27) (-2.05, 2.10, -0.27) 
(1.62, 1.85, 1.54) (1.91, 1.57, -1.59) 
(-2.02, 0.05, -2.08) (-1.28, 1.57, -2.13) 
(0.44, 2.80, 0.63) (1.31, 1.70, -2.01) 
(2.53, 0.38, -1.36) (2.48, 1.12, -1.13) 
(-1.10, 0.54, 2.63) (-1.30, 2.51, -0.83) 
(-0.72, 0.99, -2.63) (0.18, 2.45, -1.63) 
(-2.20, 1.48, -1.18) (-1.69, 2.24, -0.87) 
(2.54, 1.39, 0.09) (2.55, 1.41, -0.26) 
